X[s],Decomposition sensor: Ch1 (Dev4),X[s],Decomposition sensor: Ch2 (Dev4),X[s],Decomposition sensor: Ch3 (Dev4),X[s],Decomposition sensor: Ch4 (Dev4),X[s],EMG sensor 9: Ch9 (Dev4)->filter (FilterSlidingRMS107),X[s],Feedback Trace: Synth0
0,-1.98E-06,0,2.89E-06,0,2.24E-06,0,-4.74E-06,0,0,0,0
5.00E-05,-2.30E-06,5.00E-05,2.89E-06,5.00E-05,2.24E-06,5.00E-05,-4.74E-06,5.00E-05,0,0.001,0
0.0001,-2.14E-06,0.0001,2.08E-06,0.0001,2.89E-06,0.0001,-4.74E-06,0.0001,0,0.002,0
0.00015,-1.98E-06,0.00015,2.24E-06,0.00015,3.21E-06,0.00015,-4.90E-06,0.00015,0,0.003,0
0.0002,-1.98E-06,0.0002,1.92E-06,0.0002,3.38E-06,0.0002,-5.06E-06,0.0002,0,0.004,0
0.00025,-1.49E-06,0.00025,1.27E-06,0.00025,3.86E-06,0.00025,-4.90E-06,0.00025,0,0.005,0
0.0003,-1.65E-06,0.0003,7.81E-07,0.0003,4.03E-06,0.0003,-5.22E-06,0.0003,0,0.006,0
0.00035,-8.42E-07,0.00035,-3.03E-08,0.00035,5.00E-06,0.00035,-5.38E-06,0.00035,0,0.007,0
0.0004,-5.17E-07,0.0004,-1.93E-07,0.0004,5.32E-06,0.0004,-5.71E-06,0.0004,0,0.008,0
0.00135,1.25E-05,0.00135,-1.27E-05,0.00135,6.78E-06,0.00135,-6.52E-06,0.00135,0,0.027,0
0.0014,1.33E-05,0.0014,-1.27E-05,0.0014,6.46E-06,0.0014,-6.52E-06,0.0014,0,0.028,0
0.00145,1.33E-05,0.00145,-1.27E-05,0.00145,6.14E-06,0.00145,-5.87E-06,0.00145,0,0.029,0
0.0015,1.31E-05,0.0015,-1.25E-05,0.0015,5.32E-06,0.0015,-5.22E-06,0.0015,0,0.03,0
0.00155,1.30E-05,0.00155,-1.28E-05,0.00155,5.00E-06,0.00155,-5.06E-06,0.00155,0,0.031,0
0.0016,1.31E-05,0.0016,-1.25E-05,0.0016,4.68E-06,0.0016,-5.06E-06,0.0016,0,0.032,0
0.00165,1.30E-05,0.00165,-1.25E-05,0.00165,4.35E-06,0.00165,-4.09E-06,0.00165,0,0.033,0
0.0017,1.26E-05,0.0017,-1.24E-05,0.0017,4.03E-06,0.0017,-4.57E-06,0.0017,0,0.034,0
0.00175,1.26E-05,0.00175,-1.14E-05,0.00175,3.54E-06,0.00175,-3.60E-06,0.00175,0,0.035,0
0.0018,1.25E-05,0.0018,-1.17E-05,0.0018,3.54E-06,0.0018,-3.92E-06,0.0018,0,0.036,0
0.00185,1.20E-05,0.00185,-1.20E-05,0.00185,3.54E-06,0.00185,-3.44E-06,0.00185,0,0.037,0
0.0019,1.25E-05,0.0019,-1.11E-05,0.0019,3.70E-06,0.0019,-4.25E-06,0.0019,0,0.038,0
0.00195,1.21E-05,0.00195,-1.11E-05,0.00195,3.05E-06,0.00195,-3.44E-06,0.00195,0,0.039,0
0.002,1.15E-05,0.002,-1.09E-05,0.002,2.89E-06,0.002,-3.60E-06,0.002,0,0.04,0
0.00205,1.15E-05,0.00205,-1.06E-05,0.00205,2.89E-06,0.00205,-3.60E-06,0.00205,0,0.041,0
0.0021,1.10E-05,0.0021,-1.03E-05,0.0021,2.73E-06,0.0021,-3.76E-06,0.0021,0,0.042,0
0.00215,1.08E-05,0.00215,-9.93E-06,0.00215,2.40E-06,0.00215,-3.28E-06,0.00215,0,0.043,0
0.0022,1.07E-05,0.0022,-8.95E-06,0.0022,2.73E-06,0.0022,-3.60E-06,0.0022,0,0.044,0
0.00225,1.04E-05,0.00225,-8.63E-06,0.00225,2.40E-06,0.00225,-2.79E-06,0.00225,0,0.045,0
0.0023,1.04E-05,0.0023,-7.98E-06,0.0023,2.57E-06,0.0023,-3.28E-06,0.0023,0,0.046,0
0.00235,1.00E-05,0.00235,-7.98E-06,0.00235,2.57E-06,0.00235,-3.11E-06,0.00235,0,0.047,0
0.0024,9.54E-06,0.0024,-7.49E-06,0.0024,2.57E-06,0.0024,-3.28E-06,0.0024,0,0.048,0
0.00245,9.71E-06,0.00245,-7.01E-06,0.00245,2.40E-06,0.00245,-3.28E-06,0.00245,0,0.049,0
0.0025,9.38E-06,0.0025,-6.68E-06,0.0025,2.40E-06,0.0025,-3.28E-06,0.0025,0,0.05,0
0.00255,9.54E-06,0.00255,-6.68E-06,0.00255,2.57E-06,0.00255,-3.28E-06,0.00255,0,0.051,0
0.0026,9.71E-06,0.0026,-6.85E-06,0.0026,3.05E-06,0.0026,-3.60E-06,0.0026,0,0.052,0
0.00265,1.00E-05,0.00265,-7.17E-06,0.00265,3.21E-06,0.00265,-4.74E-06,0.00265,0,0.053,0
0.0027,1.05E-05,0.0027,-6.52E-06,0.0027,3.05E-06,0.0027,-5.22E-06,0.0027,0,0.054,0
0.00275,1.05E-05,0.00275,-7.01E-06,0.00275,3.21E-06,0.00275,-5.22E-06,0.00275,0,0.055,0
0.0028,1.02E-05,0.0028,-6.85E-06,0.0028,3.70E-06,0.0028,-5.55E-06,0.0028,0,0.056,0
0.00285,1.02E-05,0.00285,-6.52E-06,0.00285,4.03E-06,0.00285,-6.03E-06,0.00285,0,0.057,0
0.0029,1.05E-05,0.0029,-6.85E-06,0.0029,4.68E-06,0.0029,-6.20E-06,0.0029,0,0.058,0
0.00295,1.10E-05,0.00295,-7.01E-06,0.00295,5.16E-06,0.00295,-7.17E-06,0.00295,0,0.059,0
0.003,1.13E-05,0.003,-6.52E-06,0.003,5.32E-06,0.003,-7.49E-06,0.003,0,0.06,0
0.00305,1.12E-05,0.00305,-6.68E-06,0.00305,5.49E-06,0.00305,-7.98E-06,0.00305,0,0.061,0
0.0031,1.12E-05,0.0031,-7.01E-06,0.0031,5.49E-06,0.0031,-8.14E-06,0.0031,0,0.062,0
0.00315,1.13E-05,0.00315,-7.17E-06,0.00315,5.81E-06,0.00315,-8.63E-06,0.00315,0,0.063,0
